City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Dharchula,IN,2021-03-10 03:00:44,29.85,80.5333,67.17,23,3,2.46,clear sky
148,Inirida,CO,2021-03-10 03:00:44,3.8653,-67.9239,74.39,95,100,2.06,light rain
149,Baruun-Urt,MN,2021-03-10 03:00:45,46.6806,113.2792,33.04,86,25,13.87,scattered clouds
150,Bluff,NZ,2021-03-10 03:00:45,-46.6,168.3333,57.99,74,78,15.01,light rain
151,Sola,VU,2021-03-10 03:00:46,-13.8833,167.55,82.31,73,98,6.04,light rain
152,Mogadishu,SO,2021-03-10 03:00:46,2.0371,45.3438,77.94,85,95,13.2,overcast clouds
153,Todos Santos,MX,2021-03-10 03:00:46,23.45,-110.2167,64.99,80,100,1.01,overcast clouds
154,Wilmington,US,2021-03-10 03:00:47,34.2257,-77.9447,54.0,54,1,9.22,clear sky
155,Vila Velha,BR,2021-03-10 03:00:26,-20.3297,-40.2925,73.4,94,90,4.61,moderate rain
156,Rostovka,RU,2021-03-10 03:00:47,55.3842,71.8891,16.21,97,100,4.0,light snow
157,Kloulklubed,PW,2021-03-10 03:00:48,7.0419,134.2556,84.2,79,75,12.66,light rain
158,Karratha,AU,2021-03-10 02:53:04,-20.7377,116.8463,92.77,37,0,6.04,clear sky
159,Bayevo,RU,2021-03-10 03:00:48,53.2833,80.7667,10.51,96,77,5.46,broken clouds
160,Eyrarbakki,IS,2021-03-10 03:00:48,63.863,-21.1481,35.6,69,0,5.75,light snow
161,Hay River,CA,2021-03-10 03:00:04,60.8156,-115.7999,-5.8,77,100,5.75,overcast clouds
162,Port Hardy,CA,2021-03-10 02:53:26,50.6996,-127.4199,46.4,66,40,8.05,scattered clouds
163,Tamiahua,MX,2021-03-10 03:00:49,21.2667,-97.45,68.13,85,0,8.28,clear sky
164,Rogers,US,2021-03-10 03:00:49,36.3668,-95.5836,64.0,63,40,13.8,scattered clouds
165,Kaitangata,NZ,2021-03-10 03:00:50,-46.2817,169.8464,57.99,78,100,17.0,overcast clouds
166,Hovd,MN,2021-03-10 03:00:50,48.0056,91.6419,33.44,56,0,3.33,clear sky
167,San Carlos De Bariloche,AR,2021-03-10 02:54:03,-41.1456,-71.3082,62.6,42,0,16.11,clear sky
168,Kokopo,PG,2021-03-10 03:00:50,-4.352,152.2633,84.18,66,45,5.12,scattered clouds
169,Nanortalik,GL,2021-03-10 03:00:51,60.1432,-45.2371,22.73,94,20,4.5,few clouds
170,Kashi,CN,2021-03-10 03:00:52,39.4547,75.9797,46.4,31,75,8.95,broken clouds
171,Ambulu,ID,2021-03-10 02:59:19,-8.345,113.6058,85.96,62,0,3.15,clear sky
172,Bunia,CD,2021-03-10 03:00:52,1.5667,30.25,63.79,75,8,4.29,clear sky
173,Hithadhoo,MV,2021-03-10 03:00:53,-0.6,73.0833,83.71,64,75,4.65,broken clouds
174,Atar,MR,2021-03-10 03:00:54,20.5169,-13.0499,59.61,41,97,11.34,overcast clouds
175,Longyearbyen,SJ,2021-03-10 02:53:25,78.2186,15.6401,19.4,93,20,8.05,few clouds
176,Bengkulu,ID,2021-03-10 03:00:54,-3.8004,102.2655,84.33,64,32,2.91,scattered clouds
177,Mayo,US,2021-03-10 02:59:28,38.8876,-76.5119,52.0,66,1,4.25,clear sky
178,Freeport,US,2021-03-10 02:56:27,40.6576,-73.5832,48.2,43,1,6.91,clear sky
179,Iglesias,IT,2021-03-10 03:00:55,39.3114,8.535,51.8,81,75,5.75,light rain
180,Kodiak,US,2021-03-10 03:00:56,57.79,-152.4072,37.4,87,90,8.05,light rain
181,Padang,ID,2021-03-10 02:53:17,-0.9492,100.3543,82.4,74,20,8.05,few clouds
182,Lazaro Cardenas,MX,2021-03-10 03:00:56,17.9583,-102.2,73.33,86,0,5.21,clear sky
183,Kihei,US,2021-03-10 02:59:14,20.785,-156.4656,73.4,78,90,9.22,light rain
184,East London,ZA,2021-03-10 03:00:57,-33.0153,27.9116,72.54,49,0,6.08,clear sky
185,Mecca,SA,2021-03-10 03:00:57,21.4267,39.8261,73.71,54,0,1.97,clear sky
186,Kalmunai,LK,2021-03-10 02:54:12,7.4167,81.8167,81.3,76,28,6.4,scattered clouds
187,Talnakh,RU,2021-03-10 03:00:57,69.4865,88.3972,-17.32,87,100,4.14,overcast clouds
188,Goderich,CA,2021-03-10 03:00:04,43.7501,-81.7165,39.2,81,37,11.5,scattered clouds
189,Novopokrovka,UA,2021-03-10 03:00:58,49.8425,36.5477,15.8,73,0,6.71,clear sky
190,Polewali,ID,2021-03-10 03:00:58,-3.4324,119.3435,80.98,75,97,1.95,light rain
191,Cuxhaven,DE,2021-03-10 03:00:59,53.8718,8.6909,36.0,89,92,2.3,overcast clouds
192,Cap Malheureux,MU,2021-03-10 03:00:59,-19.9842,57.6142,77.0,81,19,4.0,few clouds
193,Tasiilaq,GL,2021-03-10 03:01:00,65.6145,-37.6368,13.98,95,100,4.76,light snow
194,Provideniya,RU,2021-03-10 03:01:00,64.3833,-173.3,-9.4,77,0,13.42,clear sky
195,Ostrovnoy,RU,2021-03-10 02:53:03,68.0531,39.5131,17.82,94,100,17.85,light snow
196,Carballo,ES,2021-03-10 03:01:01,43.213,-8.691,41.0,93,0,5.75,clear sky
