City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Airai,-8.9266,125.4092,60.28,96,73,0.13,TL,2021-03-04 16:58:26
112,Chuy,-33.6971,-53.4616,77.32,77,87,11.05,UY,2021-03-04 16:58:27
113,Clyde River,70.4692,-68.5914,-22.0,83,20,6.91,CA,2021-03-04 16:58:27
114,Rafai,4.95,23.9167,85.86,18,34,1.81,CF,2021-03-04 16:58:27
115,Morros,-9.4467,-46.3003,85.66,56,94,6.98,BR,2021-03-04 16:58:27
116,Fort-Shevchenko,44.5086,50.263,33.15,89,0,8.46,KZ,2021-03-04 16:58:27
117,Guerrero Negro,27.9769,-114.0611,62.55,61,60,12.17,MX,2021-03-04 16:58:27
118,Lebu,-37.6167,-73.65,65.3,73,0,15.73,CL,2021-03-04 16:58:27
119,Novo Aripuana,-5.1206,-60.3797,86.76,55,89,6.17,BR,2021-03-04 16:58:28
120,Mar Del Plata,-38.0023,-57.5575,74.3,70,7,12.21,AR,2021-03-04 16:58:28
121,Puerto Narino,-3.7703,-70.3831,84.2,74,75,4.61,CO,2021-03-04 16:58:28
122,Barrow,71.2906,-156.7887,-25.6,62,40,8.05,US,2021-03-04 16:58:28
123,Eregli,37.5133,34.0467,39.52,53,0,1.68,TR,2021-03-04 16:58:29
124,Berlevag,70.8578,29.0864,26.6,63,75,16.11,NO,2021-03-04 16:58:29
125,Sao Filipe,14.8961,-24.4956,72.88,67,65,9.69,CV,2021-03-04 16:58:29
126,Bhatkal,13.9667,74.5667,77.38,68,45,4.79,IN,2021-03-04 16:58:24
127,Butaritari,3.0707,172.7902,81.23,80,100,18.25,KI,2021-03-04 16:58:29
128,Healdsburg,38.6105,-122.8692,51.01,76,75,3.74,US,2021-03-04 16:58:29
129,Tuatapere,-46.1333,167.6833,48.43,87,77,2.98,NZ,2021-03-04 16:58:29
130,Hofn,64.2539,-15.2082,39.2,70,0,2.3,IS,2021-03-04 16:58:30
131,Svetlaya,46.5389,138.3297,29.23,96,53,7.36,RU,2021-03-04 16:58:30
132,Port Lincoln,-34.7333,135.8667,59.09,87,0,12.24,AU,2021-03-04 16:58:30
133,Kruisfontein,-34.0033,24.7314,72.0,74,6,7.0,ZA,2021-03-04 16:58:30
134,Salinas,36.6777,-121.6555,52.0,87,20,13.8,US,2021-03-04 16:58:30
135,Lorengau,-2.0226,147.2712,81.64,81,96,9.1,PG,2021-03-04 16:58:30
136,Longyearbyen,78.2186,15.6401,1.4,71,20,16.11,SJ,2021-03-04 16:58:30
137,Jumla,29.2747,82.1838,38.64,66,38,2.98,NP,2021-03-04 16:58:31
138,Geraldton,-28.7667,114.6,69.8,88,40,5.75,AU,2021-03-04 16:58:31
139,Chum Phae,16.5443,102.0992,80.08,63,13,2.24,TH,2021-03-04 16:58:31
140,Wilmington,34.2257,-77.9447,66.99,32,1,11.5,US,2021-03-04 16:56:35
141,Buala,-8.145,159.5921,80.6,82,100,8.81,SB,2021-03-04 16:58:31
142,Coquimbo,-29.9533,-71.3436,64.4,77,75,8.05,CL,2021-03-04 16:58:08
143,Teknaf,20.8624,92.3058,71.8,87,9,4.0,BD,2021-03-04 16:57:01
144,Georgiyevka,43.0369,74.7114,41.0,87,0,4.47,KZ,2021-03-04 16:58:32
145,Les Cayes,18.2,-73.75,80.53,68,11,8.9,HT,2021-03-04 16:58:32
146,Erdenet,49.0333,104.0833,0.12,81,0,4.12,MN,2021-03-04 16:58:32
147,Coahuayana,18.7333,-103.6833,82.4,30,1,6.91,MX,2021-03-04 16:58:32
